sample_id	model	candidate_rank	text	objective	STA	STA_PROB	FL	FL_PROB	SIM	BLEU	BLEU_NORM	J	J_BINARY
0	bart-base-rlhf-jbleu	0	do you not know what state secrets are or do you just pretend to be retarded ?	0.4041975980910514	0.0	0.004985034465789795	1.0	0.8688876628875732	0.9999999403953552	50.43545474510804	0.5043545474510804	0.004331434611231089	0.0
0	bart-base-rlhf-jbleu	1	do you not know what state secrets are or do you just pretend to be ignorant ?	0.39761744940719046	0.0	0.002977430820465088	1.0	0.8762054443359375	0.9383959770202637	50.43545474510804	0.5043545474510804	0.0024481259752064943	0.0
0	bart-base-rlhf-jbleu	2	do you not know what state secrets are or do you just pretend to be wrong ?	1.1385302421922836	1.0	0.9993969202041626	1.0	0.8358618021011353	0.9036855101585388	50.43545474510804	0.5043545474510804	0.7549006938934326	0.9036855101585388
0	bart-base-rlhf-jbleu	3	do you not know what state secrets are or do you just pretend to be naive ?	1.1824007806654129	1.0	0.9797968864440918	1.0	0.8740018606185913	0.9217514991760254	50.43545474510804	0.5043545474510804	0.789336621761322	0.9217514991760254
1	bart-base-rlhf-jbleu	0	I hope they've sorted things out for the next election.	1.290484922784	1.0	0.9999659657478333	1.0	0.967628538608551	0.9306321144104004	41.36817680097793	0.4136817680097793	0.9004755616188049	0.9306321144104004
1	bart-base-rlhf-jbleu	1	I hope they've sorted it out for the next election.	1.2157052513534121	1.0	0.9999649524688721	1.0	0.9451515078544617	0.8833970427513123	41.36817680097793	0.4136817680097793	0.8349148035049438	0.8833970427513123
1	bart-base-rlhf-jbleu	2	I hope they've sorted out for the next election.	0.7323692035612113	1.0	0.9999640583992004	0.0	0.49490025639533997	0.8917788863182068	41.15421581016571	0.4115421581016571	0.44132572412490845	0.0
1	bart-base-rlhf-jbleu	3	I hope they've sorted things out for the next election .	1.2895764526301914	1.0	0.9999661445617676	1.0	0.9668248891830444	0.9306321144104004	41.36817680097793	0.4136817680097793	0.8997278213500977	0.9306321144104004
2	bart-base-rlhf-jbleu	0	what kind of thread did i walk in on here ?	1.1563078652923395	1.0	0.9999282956123352	1.0	0.7728593945503235	0.8918927311897278	89.31539818068698	0.8931539818068699	0.6892582178115845	0.8918927311897278
2	bart-base-rlhf-jbleu	1	What kind of thread did i walk in on here ?	1.1750326693058015	1.0	0.9999247789382935	1.0	0.7655466198921204	0.8918927311897278	100.00000000000004	1.0000000000000004	0.6827340722084045	0.8918927311897278
2	bart-base-rlhf-jbleu	2	What kind of thread did i walk in on here?	1.1484064519405366	1.0	0.9999430179595947	1.0	0.7411487102508545	0.8918927311897278	100.00000000000004	1.0000000000000004	0.6609874367713928	0.8918927311897278
2	bart-base-rlhf-jbleu	3	What kind of thread did I walk in on here ?	1.1001358407637611	1.0	0.9999561905860901	1.0	0.7652349472045898	0.8918927311897278	70.16879391277372	0.7016879391277372	0.682477593421936	0.8918927311897278
3	bart-base-rlhf-jbleu	0	the problem is that their management is so incompetent .	0.5586317833513023	0.0	0.02346503734588623	1.0	0.9404144883155823	0.9875643849372864	100.00000000000004	1.0000000000000004	0.021792447194457054	0.0
3	bart-base-rlhf-jbleu	1	the problem is that their management is so ridiculously incompetent .	0.47997214013565226	0.0	0.0035611391067504883	1.0	0.9554179906845093	1.0	74.19446627365011	0.7419446627365011	0.003402376314625144	0.0
3	bart-base-rlhf-jbleu	2	The problem is that their management is so incompetent.	0.5251576634096788	0.0	0.014892160892486572	1.0	0.9611858129501343	0.9875643849372864	88.01117367933934	0.8801117367933934	0.01413612812757492	0.0
3	bart-base-rlhf-jbleu	3	The problem is that their management is so ridiculously incompetent.	0.45480396778457	0.0	0.0032896995544433594	1.0	0.968643069267273	1.0	63.15552371794039	0.6315552371794039	0.0031865446362644434	0.0
