sample_id	toxic	reference	model_output	chosen_model	candidate_rank	objective	sta_prob	sta	sim	fl_prob	fl	bleu	j_prob
0	do you not know what state secrets are or do you just pretend to be retarded ?	do you not know what state secrets are or are you oblivious?	Do you not know what state secrets are or do you just pretend?	bart-large-rlhf-jbleu	0	1.2114546568466762	0.9989880323410034	1.0	0.8834048509597778	0.9045403599739075	1.0	57.57575636202256	0.7982667088508606
1	i hope they 've sorted their shit out for the next election .	i hope they 've sorted their works out for the next election .	i hope they 've sorted their things out for the next election .	bart-paraphrase-rlhf-jbleu	0	1.3979564816133645	0.9999586939811707	1.0	0.9715692400932312	0.9479144811630249	1.0	76.11606003349888	0.9209265112876892
2	what the fuck kind of thread did i walk in on here ?	What kind of thread did i walk in on here ?	What kind of thread did i walk in on here ?	bart-base-rlhf-jbleu	1	1.1750326693058015	0.9999247789382935	1.0	0.8918927311897278	0.7655466198921204	1.0	100.00000000000004	0.6827340722084045
3	the problem is that their management is so ridiculously incompetent .	the problem is that their management is so incompetent.	the problem is that their management is not good.	bart-base-rlhf-jonly	3	1.270823273798258	0.9998142123222351	1.0	0.8721985220909119	0.9500098824501038	1.0	66.06328636027612	0.8284432291984558
4	i think vera was mentally broken before the ass whooping even begun at the end of the 100 st	i think vera was mentally broken before the issue even begun at the end of the 100 st	i think vera was mentally broken before things even begun at the end of the 100 st	bart-large-rlhf-jbleu	0	1.0279328091292768	0.9973226189613342	1.0	0.9237844944000244	0.6602281332015991	1.0	78.09325628873462	0.6082755923271179
5	&gt or get with the fuckin' program craig	&gt or get with the program craig	or get with the program craig	bart-base-rlhf-jbleu	0	0.6436412717142634	0.9982042908668518	1.0	0.8288072347640991	0.3714793026447296	0.0	71.65313105737896	0.3073318600654602
6	penguins fuck for shiny pebbles .	penguins like shiny pebbles	penguins like shiny pebbles	bart-paraphrase-rlhf-jbleu	3	1.335302758216858	0.9874975681304932	1.0	0.8870940208435059	0.9261992573738098	1.0	100.00000000000004	0.8113535046577454
7	fuck , i dookied on myself again !	I got myself dirty again.	i dookied myself again !	bart-paraphrase-rlhf-jbleu	2	1.0906226149138127	0.9967591762542725	1.0	0.8918060660362244	0.8957905173301697	1.0	10.400597689005304	0.7962824106216431
8	""" bitch you posed to be making sure his he got his shit together !"	You posed to be making sure his he got his stuff together!	You were supposed to be making sure that he got his things together.	bart-large-rlhf-jonly	2	0.7893868131575628	0.999957799911499	1.0	0.4903925657272339	0.9732426404953003	1.0	27.379285619165262	0.4772508144378662
9	""" * * where the fuck do you live ? * *"	Where do you live?	Where do you live? * *	bart-base-rlhf-jbleu	3	1.093650687281853	0.9999598264694214	1.0	0.6904047727584839	0.9781397581100464	1.0	61.47881529512643	0.6752852201461792
10	to make up for our people generallu being shit at actual bilinguity	To make up for our people generally being bad at actual bilinguity	To make up for our people being bad at actual bilinguity.	bart-large-rlhf-jonly	1	1.1889841757463537	0.9984663724899292	1.0	0.8742067813873291	0.855504035949707	1.0	73.48889200874659	0.746740460395813
11	he was a massive cunt all round .	He was rude.	He was rude.	bart-large-rlhf-jbleu	0	0.8876537203788758	0.9911827445030212	1.0	0.419380784034729	0.9675687551498413	1.0	100.00000000000004	0.40220189094543457
12	ive been at it as a value added farmer foryears in this pathetic state .	ive been at it as a value added farmer for years in this state.	I've been at it as a value added farmer for years in this state.	bart-large-rlhf-jbleu	1	1.2974284728545515	0.9999638795852661	1.0	0.8561770915985107	0.9283402562141418	1.0	92.53911813809742	0.7947949171066284
13	i doubt either of us makes a rats ass of a difference .	I doubt either of us makes a difference .	I doubt either of us makes a difference .	bart-paraphrase-rlhf-jonly	1	1.330444973707199	0.9999604225158691	1.0	0.864732563495636	0.9335712194442749	1.0	100.00000000000004	0.8072574734687805
14	"expect too leave the session and announce "" you fucking suck at pilates "" ."	"Expect too leave the session and announce ""you're not good at pilates""."	"Expect to leave the Session and announce ""you don't like pilates"" ."	blenderbot-rlhf-jonly	3	1.227463383500792	0.9998489022254944	1.0	0.9208650588989258	0.9698650240898132	1.0	19.369604994860264	0.8929798603057861
15	that is a stupid response .	that is a incorrect response.	that is a bad response.	t5-small-rlhf-jbleu	0	1.0956236319443948	0.9999497532844543	1.0	0.7788550853729248	0.9427295327186584	1.0	37.99178428257963	0.7342127561569214
16	the stupid was particularly strong in the commentary you reference .	He was particularly strong in the commentary you reference .	the words were particularly strong in the commentary you reference .	bart-base-rlhf-jonly	2	0.7457890411817427	0.9999656677246094	1.0	0.5268648862838745	0.7201517224311829	1.0	67.86502681586727	0.37940964102745056
17	what a dunce harper was .	What is wrong with harper.	What a harper was	t5-small-rlhf-jbleu	2	1.0593836874874303	0.9997732639312744	1.0	0.7783627510070801	0.9739897847175598	1.0	11.521590992286539	0.7579454779624939
18	they deal with a lot of shit that many larger cities don 't have to deal with .	They deal with alot of things that many larger cities don't have to deal with	They deal with a lot of things that many larger cities don't have to deal with	bart-large-rlhf-jbleu	3	1.3919631620405397	0.9999594688415527	1.0	0.9443541765213013	0.9711760878562927	1.0	74.47819789879651	0.9170970320701599
19	these fools never realize we dont have free speech .	these people never realize we dont have free speech .	These people never realize we dont have free speech.	bart-base-rlhf-jbleu	2	1.3427239404964137	0.9999614953994751	1.0	0.9325144290924072	0.9090190529823303	1.0	88.01117367933934	0.8476407527923584
20	i just tried making a nore - fuck and virgins joke .	i just tried making joke .	i just tried making a nore and virgins joke	t5-small-rlhf-jbleu	3	0.9828161512395119	0.995985746383667	1.0	0.943767786026001	0.7101355195045471	1.0	31.55984539112946	0.6675126552581787
21	i fucking knew this sensationalist bs would be the title of all posts to come .	I knew tbis sensationalists bs would be the title of all posts to come	I knew that sensationalist bs would be the title of all posts to come.	bart-base-rlhf-jbleu	3	1.2461622548412694	0.9997509121894836	1.0	0.9276565313339233	0.8738049864768982	1.0	67.29864884660302	0.81038898229599
22	y 'all quit that middle school shit .	y 'all quit that middle school thing.	y 'all quit that middle school thing.	bart-paraphrase-rlhf-jbleu	3	1.4198000311851502	0.9998416304588318	1.0	0.9596220254898071	0.9261453747749329	1.0	100.00000000000004	0.8886087536811829
23	this sick fuck and his poor wife lived two blocks from me when he was arrested .	this sick and his poor wife lived two blocks from me when he was arrested .	This guy and his poor wife lived two blocks from me when he was arrested	bart-paraphrase-rlhf-jonly	3	1.382271251423675	0.998852550983429	1.0	0.9227873682975769	0.9726291298866272	1.0	79.58667887986422	0.8964999914169312
